DateTime,Chla_ugL,Flag_Chla_ugL,PC_RFU,Flag_PC_RFU
2020-08-27 23:00,0.4475,A,,
2020-08-28 00:00,0.5725,A,,
2020-08-28 01:00,0.6699999999999999,A,,
2020-08-28 02:00,0.72,A,,
2020-08-28 03:00,0.77,A,,
2020-08-28 04:00,0.82,A,,
2020-08-28 05:00,0.5249999999999999,A,,
2020-08-28 06:00,0.4275,A,,
2020-08-28 07:00,0.425,A,,
2020-08-28 08:00,0.5774999999999999,A,,
2020-08-28 09:00,0.6225,A,,
2020-08-28 10:00,0.5975,A,,
2020-08-28 11:00,0.5766666666666667,A,0.0,A
2020-08-28 12:00,0.355,A,,
2020-08-28 13:00,0.4525,A,,
2020-08-28 14:00,0.7225,A,,
2020-08-28 15:00,0.43,A,,
2020-08-28 16:00,0.38,A,,
2020-08-28 17:00,0.455,A,,
2020-08-28 18:00,0.6749999999999999,A,,
2020-08-28 19:00,0.6525,A,,
2020-08-28 20:00,0.6275,A,,
2020-08-28 21:00,0.48,A,,
2020-08-28 22:00,0.355,A,,
2020-08-28 23:00,0.505,A,,
2020-08-29 00:00,0.4549999999999999,A,,
2020-08-29 01:00,0.6775,A,,
2020-08-29 02:00,0.7775,A,,
2020-08-29 03:00,0.455,A,,
2020-08-29 04:00,0.8025,A,,
2020-08-29 05:00,0.5549999999999999,A,,
2020-08-29 06:00,0.53,A,,
2020-08-29 07:00,0.53,A,,
2020-08-29 08:00,0.6466666666666666,A,0.0,A
2020-08-29 09:00,0.48,A,,
2020-08-29 10:00,0.38,A,0.0,A
2020-08-29 11:00,0.7575000000000001,A,,
2020-08-29 12:00,0.68,A,0.1,A
2020-08-29 13:00,0.7799999999999999,A,,
2020-08-29 14:00,0.8049999999999999,A,,
2020-08-29 15:00,0.68,A,,
2020-08-29 16:00,0.6075,A,,
2020-08-29 17:00,0.755,A,,
2020-08-29 18:00,0.7050000000000001,A,,
2020-08-29 19:00,0.5833333333333334,A,0.1,A
2020-08-29 20:00,0.7300000000000001,A,,
2020-08-29 21:00,0.485,A,,
2020-08-29 22:00,0.755,A,,
2020-08-29 23:00,0.435,A,,
2020-08-30 00:00,0.685,A,,
2020-08-30 01:00,0.66,A,,
2020-08-30 02:00,0.7324999999999999,A,,
2020-08-30 03:00,0.5375,A,,
2020-08-30 04:00,0.7599999999999999,A,,
2020-08-30 05:00,0.6599999999999999,A,,
2020-08-30 06:00,0.8624999999999999,A,,
2020-08-30 07:00,0.86,A,,
2020-08-30 08:00,0.9075,A,,
2020-08-30 09:00,0.76,A,,
2020-08-30 10:00,0.835,A,,
2020-08-30 11:00,0.96,A,,
2020-08-30 12:00,0.96,A,,
2020-08-30 13:00,1.1325,A,,
2020-08-30 14:00,0.9825,A,,
2020-08-30 15:00,1.413333333333333,A,0.1,A
2020-08-30 16:00,1.035,A,,
2020-08-30 17:00,1.1575,A,,
2020-08-30 18:00,1.28,A,,
2020-08-30 19:00,1.1324999999999998,A,,
2020-08-30 20:00,1.33,A,,
2020-08-30 21:00,1.413333333333333,A,0.0,A
2020-08-30 22:00,1.9,A,,
2020-08-30 23:00,1.643333333333333,A,0.1,A
2020-08-31 00:00,1.6275,A,,
2020-08-31 01:00,1.5775,A,,
2020-08-31 02:00,1.7775,A,,
2020-08-31 03:00,1.3575,A,,
2020-08-31 04:00,1.4549999999999998,A,,
2020-08-31 05:00,1.5074999999999998,A,,
2020-08-31 06:00,1.3325,A,,
2020-08-31 07:00,1.9433333333333327,A,0.0,A
2020-08-31 08:00,1.5324999999999998,A,,
2020-08-31 09:00,1.3075,A,,
2020-08-31 10:00,1.5325,A,,
2020-08-31 11:00,1.4075,A,,
2020-08-31 12:00,1.5075,A,,
2020-08-31 13:00,1.5133333333333332,A,0.0,A
2020-08-31 14:00,1.73,A,,
2020-08-31 15:00,1.53,A,,
2020-08-31 16:00,1.5325,A,,
2020-08-31 17:00,1.6324999999999998,A,,
2020-08-31 18:00,1.55,A,0.1,A
2020-08-31 19:00,1.8325,A,,
2020-08-31 20:00,1.1625,A,,
2020-08-31 21:00,1.6349999999999998,A,,
2020-08-31 22:00,1.335,A,,
2020-08-31 23:00,0.8925000000000001,A,,
2020-09-01 00:00,1.14,A,,
2020-09-01 01:00,0.9175,A,,
2020-09-01 02:00,0.695,A,,
2020-09-01 03:00,0.7725,A,,
2020-09-01 04:00,1.0175,A,,
2020-09-01 05:00,0.625,A,,
2020-09-01 06:00,0.5975,A,,
2020-09-01 07:00,0.4499999999999999,A,,
2020-09-01 08:00,0.6249999999999999,A,,
2020-09-01 09:00,0.7725,A,,
2020-09-01 10:00,0.9475,A,,
2020-09-01 11:00,1.1425,A,,
2020-09-01 12:00,0.945,A,,
2020-09-01 13:00,1.045,A,,
2020-09-01 14:00,0.7,A,,
2020-09-01 15:00,1.19,A,0.1,A
2020-09-01 16:00,0.995,A,,
2020-09-01 17:00,0.8725,A,,
2020-09-01 18:00,0.87,A,,
2020-09-01 19:00,0.675,A,,
2020-09-01 20:00,0.725,A,,
2020-09-01 21:00,0.7,A,,
2020-09-01 22:00,0.8775,A,,
2020-09-01 23:00,0.48,A,,
